ingredient_a,ingredient_b,severity,mechanism,advice,min_interval_hours,source
와파린,아스피린,4,항혈소판 작용이 더해져 출혈 위험이 커집니다,자가 판단으로 병용하지 말고 반드시 의사와 상의하세요,,제품 허가사항
와파린,이부프로펜,4,NSAIDs가 위장관 출혈 위험과 항응고 효과를 함께 높입니다,해열진통이 필요하면 아세트아미노펜을 우선 고려하세요,,제품 허가사항
와파린,오메가3,3,고용량 오메가3가 혈소판 응집을 억제해 출혈 경향이 늘 수 있습니다,INR 수치를 평소보다 자주 확인하세요,,NIH ODS (오메가-3)
와파린,은행잎추출물,3,은행잎 성분의 혈소판 활성인자 억제로 출혈 위험이 늘 수 있습니다,복용 중이라면 담당 의사에게 알리세요,,NCCIH (허브-약물 상호작용)
와파린,비타민K,4,비타민K가 와파린의 항응고 효과를 직접 상쇄합니다,비타민K 섭취량을 갑자기 늘리거나 줄이지 마세요,,제품 허가사항
와파린,세인트존스워트,4,CYP 효소를 유도해 와파린 혈중농도를 떨어뜨립니다,병용을 피하세요,,NCCIH (허브-약물 상호작용)
레보티록신,칼슘,3,위장관에서 결합해 갑상선호르몬 흡수를 방해합니다,레보티록신은 공복에 먹고 칼슘은 최소 4시간 뒤에 드세요,4,FDA 라벨 (4시간 분리 권고)
레보티록신,철분,3,철분과 결합해 흡수율이 크게 떨어집니다,복용 시간을 4시간 이상 벌리세요,4,FDA 라벨 (4시간 분리 권고)
레보티록신,마그네슘,3,마그네슘 제제가 흡수를 저해합니다,복용 시간을 4시간 이상 벌리세요,4,제품 허가사항
시프로플록사신,칼슘,3,2가 양이온과 킬레이트를 형성해 항생제 흡수가 감소합니다,항생제 복용 2시간 전후로는 칼슘을 피하세요,2,제품 허가사항
시프로플록사신,마그네슘,3,2가 양이온 킬레이트 형성으로 흡수가 감소합니다,항생제 복용 2시간 전후로는 마그네슘을 피하세요,2,제품 허가사항
시프로플록사신,철분,3,철 이온과 결합해 항생제 효과가 떨어집니다,복용 간격을 2시간 이상 두세요,2,제품 허가사항
시프로플록사신,아연,2,아연이 흡수를 일부 방해할 수 있습니다,복용 간격을 2시간 이상 두세요,2,제품 허가사항
독시사이클린,칼슘,3,킬레이트 형성으로 항생제 흡수가 감소합니다,복용 간격을 2시간 이상 두세요,2,제품 허가사항
독시사이클린,철분,3,철 이온과 결합해 흡수가 감소합니다,복용 간격을 2시간 이상 두세요,2,제품 허가사항
심바스타틴,이트라코나졸,5,CYP3A4 강력 억제로 스타틴 농도가 급등해 횡문근융해증 위험이 있습니다,병용금기입니다. 즉시 의사와 상의하세요,,제품 허가사항 (병용금기)
심바스타틴,클래리트로마이신,5,CYP3A4 억제로 스타틴 혈중농도가 크게 상승합니다,병용금기입니다. 다른 항생제로 변경이 필요합니다,,제품 허가사항 (병용금기)
니트로글리세린,실데나필,5,혈관확장이 겹쳐 치명적 저혈압을 유발할 수 있습니다,병용금기입니다,,제품 허가사항 (병용금기)
메토트렉세이트,이부프로펜,4,NSAIDs가 메토트렉세이트 배설을 억제해 독성이 증가합니다,"자가 복용 금지, 반드시 처방의와 상의하세요",,제품 허가사항
에스시탈로프람,트라마돌,4,세로토닌이 과다 축적되어 세로토닌 증후군 위험이 있습니다,발열·근경직·혼돈 증상이 나타나면 즉시 의료기관을 찾으세요,,제품 허가사항
에스시탈로프람,세인트존스워트,4,세로토닌 작용이 중첩됩니다,병용을 피하세요,,NCCIH (허브-약물 상호작용)
클로피도그렐,오메가3,3,항혈소판 효과가 더해져 출혈 경향이 늘 수 있습니다,수술·시술 예정이면 미리 알리세요,,NIH ODS (오메가-3)
클로피도그렐,오메프라졸,3,CYP2C19 억제로 클로피도그렐 활성화가 저해됩니다,대체 위장약 사용을 의사와 상의하세요,,FDA 안전성 서한 (2009)
아스피린,은행잎추출물,3,항혈소판 작용이 중첩되어 출혈 위험이 늘 수 있습니다,치과 치료나 수술 전에 반드시 알리세요,,NCCIH (허브-약물 상호작용)
철분,칼슘,2,같은 흡수 경로를 두고 경쟁해 철분 흡수율이 떨어집니다,같이 먹지 말고 2시간 이상 간격을 두세요,2,NIH ODS (미네랄)
철분,아연,2,고용량에서 흡수를 서로 방해합니다,복용 시간을 나누세요,2,NIH ODS (미네랄)
아연,구리,2,장기 고용량 아연 섭취가 구리 결핍을 유발할 수 있습니다,장기 복용 시 구리 수치를 확인하세요,,NIH ODS (미네랄)
칼슘,마그네슘,1,흡수 경쟁 가능성이 보고되나 통상 용량에서는 임상적 의미가 작습니다,특별한 조치는 필요하지 않습니다,,NIH ODS (미네랄)
메트포르민,조영제,3,신장 기능이 많이 떨어진 경우에 한해 젖산산증 위험이 있습니다. 신기능이 유지되면 검사 전후로 중단하지 않는 것이 현재 권고입니다,조영제를 쓰는 검사(CT 등)가 잡히면 메트포르민 복용 사실을 미리 알리세요. 신장 기능에 따라 중단 여부가 달라지므로 의료진이 판단합니다,,ACR 조영제 지침
